delivery_id,distribution_center_id,municipality,date,supply_type,quantity_requested,quantity_delivered,population_at_center,delivery_delay_hours,transport_mode,road_condition,weather_on_delivery_day,number_of_aid_workers,center_capacity
DEL-00023,IC-0117,Bahia Verde,2025-09-15,Food,1149,678,637,6.4,Truck,Limited,Heavy Rain,11,848
DEL-00024,IC-0117,Bahia Verde,2025-09-15,Medical Supplies,53,17,303,8.1,Helicopter,Limited,Heavy Rain,13,785
DEL-00025,IC-0121,Bahia Verde,2025-09-15,Food,983,379,389,7.1,Helicopter,Yes,Heavy Rain,9,457
DEL-00026,IC-0121,Bahia Verde,2025-09-15,Shelter Materials,43,9,379,3.9,Truck,Yes,Heavy Rain,7,602
DEL-00027,IC-0123,Bahia Verde,2025-09-15,Shelter Materials,54,18,284,6.6,Truck,Yes,Heavy Rain,8,960
DEL-00028,IC-0123,Bahia Verde,2025-09-15,Medical Supplies,103,17,600,7.9,Truck,Yes,Heavy Rain,3,688
DEL-00029,IC-0123,Bahia Verde,2025-09-15,Medical Supplies,80,29,342,4.9,Truck,Yes,Heavy Rain,14,873
DEL-00030,IC-0123,Bahia Verde,2025-09-15,Food,2102,766,821,4.0,Truck,Yes,Heavy Rain,10,889
DEL-00031,IC-0124,Bahia Verde,2025-09-15,Medical Supplies,182,18,799,6.1,Truck,Yes,Heavy Rain,10,1460
DEL-00032,IC-0124,Bahia Verde,2025-09-15,Shelter Materials,149,84,896,2.1,Truck,Yes,Heavy Rain,3,1811
DEL-00033,IC-0124,Bahia Verde,2025-09-15,Hygiene Kits,793,81,997,4.8,Truck,Yes,Heavy Rain,7,1413
DEL-00034,IC-0135,Rincon del Este,2025-09-15,Food,928,194,394,7.1,Boat,Limited,Heavy Rain,9,307
DEL-00035,IC-0135,Rincon del Este,2025-09-15,Water,567,69,155,8.4,Truck,Limited,Heavy Rain,8,420
DEL-00036,IC-0149,Rincon del Este,2025-09-15,Water,326,82,146,9.0,Truck,Yes,Heavy Rain,9,526
DEL-00037,IC-0149,Rincon del Este,2025-09-15,Water,784,262,363,6.4,Truck,Yes,Heavy Rain,2,476
DEL-00038,IC-0149,Rincon del Este,2025-09-15,Water,1418,726,422,5.8,Truck,Yes,Heavy Rain,10,528
DEL-00039,IC-0006,Puerto Nuevo,2025-09-15,Shelter Materials,121,47,858,6.4,Truck,Yes,Heavy Rain,2,1550
DEL-00040,IC-0006,Puerto Nuevo,2025-09-15,Water,2542,496,779,8.8,Boat,Yes,Heavy Rain,15,1557
DEL-00041,IC-0006,Puerto Nuevo,2025-09-15,Food,670,264,314,2.8,Helicopter,Yes,Heavy Rain,6,1236
DEL-00042,IC-0006,Puerto Nuevo,2025-09-15,Food,2533,452,907,4.1,Helicopter,Yes,Heavy Rain,9,1269
DEL-00043,IC-0007,Puerto Nuevo,2025-09-15,Food,1065,400,525,7.1,Truck,Yes,Heavy Rain,6,2054
DEL-00044,IC-0007,Puerto Nuevo,2025-09-15,Food,1362,488,825,5.6,Truck,Yes,Heavy Rain,12,2046
DEL-00045,IC-0007,Puerto Nuevo,2025-09-15,Food,2248,1081,1110,2.1,Helicopter,Yes,Heavy Rain,12,1428
DEL-00046,IC-0007,Puerto Nuevo,2025-09-15,Water,1553,200,770,8.8,Truck,Yes,Heavy Rain,2,1649
DEL-00047,IC-0010,Puerto Nuevo,2025-09-15,Water,1954,715,637,4.6,Helicopter,Limited,Heavy Rain,10,776
DEL-00048,IC-0010,Puerto Nuevo,2025-09-15,Food,1193,337,582,7.0,Boat,Limited,Heavy Rain,6,511
DEL-00049,IC-0012,Puerto Nuevo,2025-09-15,Medical Supplies,208,54,1791,2.3,Truck,Yes,Heavy Rain,8,2243
DEL-00050,IC-0016,Puerto Nuevo,2025-09-15,Shelter Materials,171,38,1216,6.6,Truck,Limited,Heavy Rain,8,3058
DEL-00051,IC-0018,Puerto Nuevo,2025-09-15,Medical Supplies,86,49,603,6.9,Truck,Yes,Heavy Rain,9,1011
DEL-00052,IC-0018,Puerto Nuevo,2025-09-15,Shelter Materials,79,14,875,2.7,Truck,Yes,Heavy Rain,9,898
DEL-00053,IC-0022,Puerto Nuevo,2025-09-15,Shelter Materials,144,39,2104,5.3,Truck,Yes,Heavy Rain,4,4294
DEL-00054,IC-0022,Puerto Nuevo,2025-09-15,Food,3559,497,2123,3.3,Truck,Yes,Heavy Rain,12,3911
DEL-00055,IC-0022,Puerto Nuevo,2025-09-15,Food,4337,1132,2116,4.3,Truck,Yes,Heavy Rain,7,3113
DEL-00056,IC-0022,Puerto Nuevo,2025-09-15,Medical Supplies,637,298,2055,4.0,Truck,Yes,Heavy Rain,9,3960
DEL-00057,IC-0025,Puerto Nuevo,2025-09-15,Medical Supplies,82,38,664,7.6,Truck,Yes,Heavy Rain,7,1101
DEL-00058,IC-0025,Puerto Nuevo,2025-09-15,Food,1111,289,532,4.5,Truck,Yes,Heavy Rain,13,1079
DEL-00059,IC-0025,Puerto Nuevo,2025-09-15,Food,839,100,449,5.5,Truck,Yes,Heavy Rain,2,1033
DEL-00060,IC-0025,Puerto Nuevo,2025-09-15,Medical Supplies,114,58,546,5.6,Truck,Yes,Heavy Rain,4,1082
DEL-00061,IC-0026,Puerto Nuevo,2025-09-15,Medical Supplies,61,22,536,6.3,Truck,Yes,Heavy Rain,4,333
DEL-00062,IC-0026,Puerto Nuevo,2025-09-15,Shelter Materials,13,5,262,4.6,Truck,Yes,Heavy Rain,7,339
DEL-00063,IC-0026,Puerto Nuevo,2025-09-15,Medical Supplies,17,7,50,5.5,Truck,Yes,Heavy Rain,3,316
DEL-00064,IC-0027,Puerto Nuevo,2025-09-15,Water,7751,1831,2472,8.7,Helicopter,No,Heavy Rain,11,3863
DEL-00065,IC-0027,Puerto Nuevo,2025-09-15,Hygiene Kits,994,485,2203,10.5,Boat,No,Heavy Rain,7,3979
DEL-00066,IC-0029,Puerto Nuevo,2025-09-15,Shelter Materials,10,5,56,2.0,Helicopter,Yes,Heavy Rain,10,100
DEL-00067,IC-0029,Puerto Nuevo,2025-09-15,Water,369,147,106,5.2,Truck,Yes,Heavy Rain,5,100
DEL-00068,IC-0029,Puerto Nuevo,2025-09-15,Medical Supplies,58,10,396,3.1,Helicopter,Yes,Heavy Rain,8,100
DEL-00069,IC-0029,Puerto Nuevo,2025-09-15,Food,469,223,253,6.2,Truck,Yes,Heavy Rain,6,100
DEL-00070,IC-0032,Puerto Nuevo,2025-09-15,Water,230,119,93,3.1,Helicopter,Yes,Heavy Rain,8,104
DEL-00071,IC-0032,Puerto Nuevo,2025-09-15,Water,191,57,88,4.4,Truck,Yes,Heavy Rain,12,131
DEL-00072,IC-0032,Puerto Nuevo,2025-09-15,Food,378,160,173,4.8,Truck,Yes,Heavy Rain,12,138
DEL-00073,IC-0032,Puerto Nuevo,2025-09-15,Food,146,25,50,3.2,Truck,Yes,Heavy Rain,9,138
DEL-00074,IC-0035,Puerto Nuevo,2025-09-15,Water,3089,1650,1068,5.6,Truck,Yes,Heavy Rain,7,821
DEL-00075,IC-0035,Puerto Nuevo,2025-09-15,Food,1825,568,738,6.8,Truck,Yes,Heavy Rain,2,979
DEL-00076,IC-0035,Puerto Nuevo,2025-09-15,Food,1457,309,584,5.2,Truck,Yes,Heavy Rain,9,1167
DEL-00077,IC-0037,Puerto Nuevo,2025-09-15,Water,5589,558,1687,5.2,Truck,Yes,Heavy Rain,6,2617
DEL-00078,IC-0037,Puerto Nuevo,2025-09-15,Food,2369,957,1520,6.2,Truck,Yes,Heavy Rain,8,2963
DEL-00079,IC-0037,Puerto Nuevo,2025-09-15,Medical Supplies,471,255,1228,2.6,Truck,Yes,Heavy Rain,8,2107
DEL-00080,IC-0038,Puerto Nuevo,2025-09-15,Shelter Materials,10,5,110,3.4,Truck,Yes,Heavy Rain,8,186
DEL-00081,IC-0039,Puerto Nuevo,2025-09-15,Food,76,20,50,8.4,Truck,Limited,Heavy Rain,6,100
DEL-00082,IC-0039,Puerto Nuevo,2025-09-15,Water,343,116,95,8.4,Helicopter,Limited,Heavy Rain,7,133
DEL-00083,IC-0041,Puerto Nuevo,2025-09-15,Food,634,284,351,6.7,Truck,Limited,Heavy Rain,4,721
DEL-00084,IC-0041,Puerto Nuevo,2025-09-15,Shelter Materials,10,5,50,9.6,Boat,Limited,Heavy Rain,8,684
DEL-00085,IC-0041,Puerto Nuevo,2025-09-15,Shelter Materials,48,17,311,9.8,Boat,Limited,Heavy Rain,9,776
DEL-00086,IC-0043,Puerto Nuevo,2025-09-15,Water,138,59,50,2.1,Helicopter,Limited,Heavy Rain,6,124
DEL-00087,IC-0043,Puerto Nuevo,2025-09-15,Hygiene Kits,23,5,50,10.5,Boat,Limited,Heavy Rain,10,100
DEL-00088,IC-0045,Puerto Nuevo,2025-09-15,Shelter Materials,16,6,164,6.2,Truck,Yes,Heavy Rain,6,100
DEL-00089,IC-0045,Puerto Nuevo,2025-09-15,Food,147,44,50,6.0,Truck,Yes,Heavy Rain,5,100
DEL-00090,IC-0046,Sierra Alta,2025-09-15,Hygiene Kits,370,37,623,5.7,Truck,Yes,Heavy Rain,6,1442
DEL-00091,IC-0049,Sierra Alta,2025-09-15,Hygiene Kits,302,152,587,2.1,Truck,Yes,Heavy Rain,5,946
DEL-00092,IC-0049,Sierra Alta,2025-09-15,Water,1329,273,436,4.9,Boat,Yes,Heavy Rain,5,1018
DEL-00093,IC-0049,Sierra Alta,2025-09-15,Water,982,166,303,5.2,Truck,Yes,Heavy Rain,5,873
DEL-00094,IC-0049,Sierra Alta,2025-09-15,Food,1238,395,486,0.3,Truck,Yes,Heavy Rain,9,780
DEL-00095,IC-0052,Sierra Alta,2025-09-15,Water,507,103,157,6.5,Truck,Yes,Heavy Rain,2,114
DEL-00096,IC-0052,Sierra Alta,2025-09-15,Medical Supplies,27,8,73,6.0,Helicopter,Yes,Heavy Rain,3,122
DEL-00097,IC-0059,Sierra Alta,2025-09-15,Medical Supplies,308,155,958,5.6,Helicopter,Yes,Heavy Rain,8,1857
DEL-00098,IC-0059,Sierra Alta,2025-09-15,Shelter Materials,81,49,726,5.3,Boat,Yes,Heavy Rain,12,2070
DEL-00099,IC-0059,Sierra Alta,2025-09-15,Medical Supplies,315,141,897,4.1,Truck,Yes,Heavy Rain,11,1363
DEL-00100,IC-0060,Sierra Alta,2025-09-15,Water,2485,806,652,9.5,Helicopter,Limited,Heavy Rain,2,1824
DEL-00101,IC-0060,Sierra Alta,2025-09-15,Shelter Materials,220,66,1178,4.8,Boat,Limited,Heavy Rain,6,1985
DEL-00102,IC-0062,Sierra Alta,2025-09-15,Water,179,28,50,6.3,Truck,Limited,Heavy Rain,9,226
DEL-00103,IC-0062,Sierra Alta,2025-09-15,Water,160,60,50,3.9,Helicopter,Limited,Heavy Rain,10,218
DEL-00104,IC-0062,Sierra Alta,2025-09-15,Medical Supplies,68,34,346,8.3,Helicopter,Limited,Heavy Rain,4,255
DEL-00105,IC-0062,Sierra Alta,2025-09-15,Water,262,142,93,10.2,Truck,Limited,Heavy Rain,4,267
DEL-00106,IC-0063,Sierra Alta,2025-09-15,Shelter Materials,67,35,482,2.2,Helicopter,Yes,Heavy Rain,11,521
DEL-00107,IC-0063,Sierra Alta,2025-09-15,Water,1356,628,448,6.4,Helicopter,Yes,Heavy Rain,7,720
DEL-00108,IC-0063,Sierra Alta,2025-09-15,Medical Supplies,141,73,468,6.2,Truck,Yes,Heavy Rain,9,541
DEL-00109,IC-0063,Sierra Alta,2025-09-15,Food,156,43,54,5.9,Truck,Yes,Heavy Rain,10,697
DEL-00110,IC-0065,Sierra Alta,2025-09-15,Food,1826,942,725,8.2,Truck,Yes,Heavy Rain,6,408
DEL-00111,IC-0065,Sierra Alta,2025-09-15,Food,136,75,50,5.2,Truck,Yes,Heavy Rain,9,550
DEL-00112,IC-0065,Sierra Alta,2025-09-15,Food,565,305,303,4.2,Boat,Yes,Heavy Rain,5,375
DEL-00113,IC-0065,Sierra Alta,2025-09-15,Water,1041,660,310,4.1,Truck,Yes,Heavy Rain,6,486
DEL-00114,IC-0066,Sierra Alta,2025-09-15,Medical Supplies,35,6,123,8.2,Helicopter,No,Heavy Rain,7,100
DEL-00115,IC-0066,Sierra Alta,2025-09-15,Medical Supplies,46,15,133,8.7,Helicopter,No,Heavy Rain,6,100
DEL-00116,IC-0068,Costa Sur,2025-09-15,Water,6946,694,1982,3.5,Helicopter,Yes,Heavy Rain,6,2904
DEL-00117,IC-0069,Costa Sur,2025-09-15,Water,1179,397,485,6.5,Truck,Yes,Heavy Rain,5,1167
DEL-00118,IC-0069,Costa Sur,2025-09-15,Water,2109,681,868,6.7,Boat,Yes,Heavy Rain,8,1272
DEL-00119,IC-0071,Costa Sur,2025-09-15,Water,565,149,183,4.3,Truck,Yes,Heavy Rain,6,110
DEL-00120,IC-0071,Costa Sur,2025-09-15,Shelter Materials,10,5,50,3.3,Truck,Yes,Heavy Rain,9,104
DEL-00121,IC-0071,Costa Sur,2025-09-15,Water,1547,356,396,3.9,Helicopter,Yes,Heavy Rain,9,100
DEL-00122,IC-0071,Costa Sur,2025-09-15,Medical Supplies,10,5,50,4.2,Truck,Yes,Heavy Rain,9,101
DEL-00123,IC-0072,Costa Sur,2025-09-15,Shelter Materials,90,25,553,4.8,Truck,Yes,Heavy Rain,4,1170
DEL-00124,IC-0073,Costa Sur,2025-09-15,Food,2693,759,1320,6.6,Truck,Yes,Heavy Rain,13,2622
DEL-00125,IC-0073,Costa Sur,2025-09-15,Medical Supplies,201,40,1310,4.4,Truck,Yes,Heavy Rain,3,2298
DEL-00126,IC-0073,Costa Sur,2025-09-15,Medical Supplies,407,131,1063,4.2,Truck,Yes,Heavy Rain,7,1884
DEL-00127,IC-0073,Costa Sur,2025-09-15,Food,3875,1806,1680,5.4,Boat,Yes,Heavy Rain,12,2514
DEL-00128,IC-0074,Costa Sur,2025-09-15,Water,105,21,50,5.8,Truck,Yes,Heavy Rain,8,563
DEL-00129,IC-0074,Costa Sur,2025-09-15,Water,438,192,188,5.6,Boat,Yes,Heavy Rain,11,467
DEL-00130,IC-0074,Costa Sur,2025-09-15,Medical Supplies,19,5,50,5.5,Boat,Yes,Heavy Rain,10,484
DEL-00131,IC-0075,Costa Sur,2025-09-15,Water,659,65,189,7.0,Helicopter,Limited,Heavy Rain,8,136
DEL-00132,IC-0075,Costa Sur,2025-09-15,Medical Supplies,17,5,52,7.8,Truck,Limited,Heavy Rain,10,184
DEL-00133,IC-0075,Costa Sur,2025-09-15,Food,901,262,335,4.5,Boat,Limited,Heavy Rain,10,142
DEL-00134,IC-0082,Costa Sur,2025-09-15,Food,1221,386,463,8.7,Truck,Limited,Heavy Rain,5,922
DEL-00135,IC-0083,Costa Sur,2025-09-15,Hygiene Kits,32,10,50,7.4,Truck,Limited,Heavy Rain,14,525
DEL-00136,IC-0083,Costa Sur,2025-09-15,Water,810,158,273,7.1,Truck,Limited,Heavy Rain,7,592
DEL-00137,IC-0084,Costa Sur,2025-09-15,Medical Supplies,139,28,876,6.5,Helicopter,No,Heavy Rain,5,767
DEL-00138,IC-0084,Costa Sur,2025-09-15,Food,1339,393,627,9.0,Helicopter,No,Heavy Rain,2,1059
DEL-00139,IC-0084,Costa Sur,2025-09-15,Medical Supplies,243,55,944,9.5,Boat,No,Heavy Rain,8,833
DEL-00140,IC-0084,Costa Sur,2025-09-15,Water,1594,222,487,7.2,Helicopter,No,Heavy Rain,4,887
DEL-00141,IC-0090,Costa Sur,2025-09-15,Medical Supplies,314,115,907,9.4,Truck,No,Heavy Rain,5,1019
DEL-00142,IC-0090,Costa Sur,2025-09-15,Food,1865,186,683,8.2,Helicopter,No,Heavy Rain,10,937
DEL-00143,IC-0090,Costa Sur,2025-09-15,Food,1786,297,981,5.9,Truck,No,Heavy Rain,10,1563
DEL-00144,IC-0094,Costa Sur,2025-09-15,Food,352,87,128,4.9,Truck,Yes,Heavy Rain,10,617
DEL-00145,IC-0094,Costa Sur,2025-09-15,Medical Supplies,156,76,410,3.8,Truck,Yes,Heavy Rain,5,638
DEL-00146,IC-0094,Costa Sur,2025-09-15,Hygiene Kits,72,22,167,5.5,Truck,Yes,Heavy Rain,6,663
DEL-00147,IC-0094,Costa Sur,2025-09-15,Water,1480,238,498,5.7,Truck,Yes,Heavy Rain,11,502
DEL-00148,IC-0097,Costa Sur,2025-09-15,Food,780,88,274,7.4,Truck,Yes,Heavy Rain,6,598
DEL-00149,IC-0098,Bahia Verde,2025-09-15,Food,99,27,50,6.5,Helicopter,Yes,Heavy Rain,9,226
DEL-00150,IC-0098,Bahia Verde,2025-09-15,Food,566,215,351,6.3,Truck,Yes,Heavy Rain,4,310
DEL-00151,IC-0098,Bahia Verde,2025-09-15,Water,444,180,118,1.3,Truck,Yes,Heavy Rain,8,254
DEL-00152,IC-0101,Bahia Verde,2025-09-15,Water,693,323,239,5.4,Truck,Yes,Heavy Rain,8,427
DEL-00153,IC-0101,Bahia Verde,2025-09-15,Water,119,28,50,6.1,Truck,Yes,Heavy Rain,12,457
DEL-00154,IC-0101,Bahia Verde,2025-09-15,Water,1359,452,421,6.1,Truck,Yes,Heavy Rain,2,366
DEL-00155,IC-0101,Bahia Verde,2025-09-15,Food,194,80,107,3.8,Helicopter,Yes,Heavy Rain,8,311
DEL-00156,IC-0107,Bahia Verde,2025-09-15,Hygiene Kits,16,6,50,9.2,Helicopter,Limited,Heavy Rain,9,100
DEL-00157,IC-0107,Bahia Verde,2025-09-15,Medical Supplies,35,10,288,5.9,Helicopter,Limited,Heavy Rain,6,135
DEL-00158,IC-0110,Bahia Verde,2025-09-15,Medical Supplies,153,42,704,4.7,Truck,Yes,Heavy Rain,9,607
DEL-00159,IC-0110,Bahia Verde,2025-09-15,Shelter Materials,40,25,255,4.0,Truck,Yes,Heavy Rain,14,831
DEL-00160,IC-0110,Bahia Verde,2025-09-15,Water,1385,443,628,4.6,Truck,Yes,Heavy Rain,7,766
DEL-00161,IC-0125,Bahia Verde,2025-09-15,Food,689,189,427,8.1,Boat,Limited,Heavy Rain,12,1079
DEL-00162,IC-0125,Bahia Verde,2025-09-15,Water,1001,452,360,10.1,Boat,Limited,Heavy Rain,8,1042
DEL-00163,IC-0125,Bahia Verde,2025-09-15,Food,945,214,403,7.1,Boat,Limited,Heavy Rain,8,713
DEL-00164,IC-0125,Bahia Verde,2025-09-15,Food,726,132,414,6.1,Truck,Limited,Heavy Rain,10,902
DEL-00165,IC-0126,Rincon del Este,2025-09-15,Medical Supplies,100,11,509,2.7,Truck,Yes,Heavy Rain,7,677
DEL-00166,IC-0126,Rincon del Este,2025-09-15,Shelter Materials,28,12,325,3.0,Truck,Yes,Heavy Rain,2,625
DEL-00167,IC-0126,Rincon del Este,2025-09-15,Water,691,69,308,2.9,Truck,Yes,Heavy Rain,2,495
DEL-00168,IC-0126,Rincon del Este,2025-09-15,Food,405,140,230,7.7,Truck,Yes,Heavy Rain,6,482
DEL-00169,IC-0127,Rincon del Este,2025-09-15,Medical Supplies,243,113,709,6.7,Truck,Limited,Heavy Rain,10,1896
DEL-00170,IC-0127,Rincon del Este,2025-09-15,Food,1609,449,583,8.7,Truck,Limited,Heavy Rain,10,2134
DEL-00171,IC-0130,Rincon del Este,2025-09-15,Hygiene Kits,128,53,272,4.4,Truck,Yes,Heavy Rain,8,640
DEL-00172,IC-0130,Rincon del Este,2025-09-15,Hygiene Kits,161,62,214,5.9,Helicopter,Yes,Heavy Rain,2,518
DEL-00173,IC-0131,Rincon del Este,2025-09-15,Medical Supplies,54,5,137,9.2,Truck,Limited,Heavy Rain,2,128
DEL-00174,IC-0131,Rincon del Este,2025-09-15,Food,87,27,50,6.0,Truck,Limited,Heavy Rain,8,136
DEL-00175,IC-0133,Rincon del Este,2025-09-15,Water,869,348,357,4.7,Helicopter,Limited,Heavy Rain,7,383
DEL-00176,IC-0133,Rincon del Este,2025-09-15,Medical Supplies,103,42,407,7.4,Truck,Limited,Heavy Rain,2,483
DEL-00177,IC-0133,Rincon del Este,2025-09-15,Medical Supplies,80,31,234,9.5,Truck,Limited,Heavy Rain,9,411
DEL-00178,IC-0133,Rincon del Este,2025-09-15,Water,659,179,288,7.8,Truck,Limited,Heavy Rain,13,434
DEL-00179,IC-0134,Rincon del Este,2025-09-15,Food,140,24,50,4.9,Truck,Limited,Heavy Rain,2,382
DEL-00180,IC-0134,Rincon del Este,2025-09-15,Water,237,29,118,5.4,Helicopter,Limited,Heavy Rain,3,422
DEL-00181,IC-0134,Rincon del Este,2025-09-15,Water,1842,997,465,3.4,Helicopter,Limited,Heavy Rain,3,493
DEL-00182,IC-0134,Rincon del Este,2025-09-15,Hygiene Kits,326,100,566,4.7,Truck,Limited,Heavy Rain,7,637
DEL-00183,IC-0137,Rincon del Este,2025-09-15,Water,2090,535,688,7.5,Truck,Yes,Heavy Rain,10,1336
DEL-00184,IC-0137,Rincon del Este,2025-09-15,Food,2687,405,984,7.5,Boat,Yes,Heavy Rain,9,1122
DEL-00185,IC-0145,Rincon del Este,2025-09-15,Shelter Materials,27,6,334,9.7,Boat,Yes,Heavy Rain,5,125
DEL-00186,IC-0145,Rincon del Este,2025-09-15,Hygiene Kits,30,11,50,3.6,Truck,Yes,Heavy Rain,9,130
DEL-00187,IC-0145,Rincon del Este,2025-09-15,Water,837,192,227,2.1,Truck,Yes,Heavy Rain,6,106
DEL-00188,IC-0145,Rincon del Este,2025-09-15,Medical Supplies,10,5,87,5.6,Truck,Yes,Heavy Rain,10,112
DEL-00189,IC-0146,Rincon del Este,2025-09-15,Food,139,41,50,8.8,Truck,No,Heavy Rain,6,121
DEL-00190,IC-0146,Rincon del Este,2025-09-15,Water,970,97,340,9.6,Boat,No,Heavy Rain,3,113
DEL-00191,IC-0146,Rincon del Este,2025-09-15,Medical Supplies,19,5,50,8.1,Helicopter,No,Heavy Rain,6,109
DEL-00192,IC-0146,Rincon del Este,2025-09-15,Water,1401,309,507,9.2,Helicopter,No,Heavy Rain,6,110
DEL-00193,IC-0150,Rincon del Este,2025-09-15,Hygiene Kits,136,44,258,6.1,Helicopter,Yes,Heavy Rain,4,100
DEL-00194,IC-0150,Rincon del Este,2025-09-15,Water,332,74,99,6.2,Truck,Yes,Heavy Rain,10,139
DEL-00195,IC-0150,Rincon del Este,2025-09-15,Food,91,21,50,6.7,Truck,Yes,Heavy Rain,9,100
DEL-00196,IC-0001,Puerto Nuevo,2025-09-16,Medical Supplies,202,67,1065,1.3,Truck,Yes,Clear,2,2042
DEL-00197,IC-0001,Puerto Nuevo,2025-09-16,Shelter Materials,119,62,1051,1.8,Truck,Yes,Clear,8,1488
DEL-00198,IC-0001,Puerto Nuevo,2025-09-16,Water,2998,1429,1204,1.6,Truck,Yes,Clear,4,2275
DEL-00199,IC-0008,Puerto Nuevo,2025-09-16,Medical Supplies,59,12,321,1.1,Truck,Yes,Clear,7,103
DEL-00200,IC-0008,Puerto Nuevo,2025-09-16,Food,127,56,50,0.0,Truck,Yes,Clear,7,100
DEL-00201,IC-0008,Puerto Nuevo,2025-09-16,Hygiene Kits,128,63,257,0.0,Truck,Yes,Clear,9,110
DEL-00202,IC-0050,Sierra Alta,2025-09-16,Medical Supplies,197,72,563,4.6,Truck,Limited,Clear,4,811
DEL-00203,IC-0050,Sierra Alta,2025-09-16,Water,2645,264,959,5.8,Boat,Limited,Clear,7,796
DEL-00204,IC-0050,Sierra Alta,2025-09-16,Medical Supplies,134,52,619,3.1,Truck,Limited,Clear,13,959
DEL-00205,IC-0050,Sierra Alta,2025-09-16,Hygiene Kits,545,197,787,3.0,Truck,Limited,Clear,9,756
DEL-00206,IC-0053,Sierra Alta,2025-09-16,Water,1629,203,478,1.5,Helicopter,Limited,Clear,11,860
DEL-00207,IC-0053,Sierra Alta,2025-09-16,Water,1595,864,654,5.0,Boat,Limited,Clear,2,971
DEL-00208,IC-0053,Sierra Alta,2025-09-16,Shelter Materials,18,10,177,1.3,Helicopter,Limited,Clear,9,1181
DEL-00209,IC-0053,Sierra Alta,2025-09-16,Water,2731,855,792,5.8,Truck,Limited,Clear,2,1189
DEL-00210,IC-0078,Costa Sur,2025-09-16,Water,2582,1414,929,2.7,Helicopter,Yes,Clear,5,1257
DEL-00211,IC-0078,Costa Sur,2025-09-16,Food,1445,760,614,0.0,Helicopter,Yes,Clear,9,1351
DEL-00212,IC-0079,Costa Sur,2025-09-16,Food,367,120,136,7.6,Boat,Limited,Clear,4,380
DEL-00213,IC-0079,Costa Sur,2025-09-16,Medical Supplies,10,5,50,2.4,Truck,Limited,Clear,8,434
DEL-00214,IC-0089,Costa Sur,2025-09-16,Hygiene Kits,140,94,248,1.4,Truck,Yes,Clear,6,804
